,Date of Prediction,Expected Price Change,Expected Price Change Pct,Expected Change Threshold Up,Current Price,Limit,Stop Loss,Order,Portfolio Value,Cash
0,2020-01-02 09:30:00-05:00,0.3453670000000031,0.005786253403141413,0.003,59.6875,60.032867,0.05,market order of | 753 NVDA buy | with status new,100000.0,100000.0
0,2020-01-02 09:45:00-05:00,0.3683160000000001,0.006167122943614218,0.003,59.7225,60.090816,0.05,market order of | 753 NVDA buy | with status new,100026.355,55055.3125
0,2020-01-02 10:00:00-05:00,0.2807200000000023,0.004698242677824306,0.003,59.75,,,,100067.77,10084.270000000004
0,2020-01-02 10:15:00-05:00,0.2937000000000012,0.004934061318773645,0.003,59.525,,,,99728.92,10084.270000000004
0,2020-01-02 10:30:00-05:00,0.30496000000000123,0.005130905732057582,0.003,59.4359,,,,99594.7354,10084.270000000004
0,2020-01-02 10:45:00-05:00,0.26870699999999914,0.004516084033613431,0.003,59.5,,,,99691.27,10084.270000000004
0,2020-01-02 11:00:00-05:00,0.282589999999999,0.004753406223717393,0.003,59.45,,,,99615.97,10084.270000000004
0,2020-01-02 11:15:00-05:00,0.3228500000000025,0.0054331271824645975,0.003,59.4225,,,,99574.55500000001,10084.270000000004
0,2020-01-02 11:30:00-05:00,0.32001000000000346,0.005384654215042966,0.003,59.43,,,,99585.85,10084.270000000004
0,2020-01-02 11:45:00-05:00,0.24160400000000237,0.004065354198216429,0.003,59.43,,,,99585.85,10084.270000000004
0,2020-01-02 12:00:00-05:00,0.3792359999999988,0.006370234745727104,0.003,59.5325,,,,99740.215,10084.270000000004
0,2020-01-02 12:15:00-05:00,0.2554540000000003,0.004296030459379651,0.003,59.4628,,,,99635.24680000001,10084.270000000004
0,2020-01-02 12:30:00-05:00,0.31641799999999876,0.0053123693599160336,0.003,59.5625,,,,99785.395,10084.270000000004
0,2020-01-02 12:45:00-05:00,0.23815599999999648,0.003985540958915513,0.003,59.755,,,,100075.3,10084.270000000004
0,2020-01-02 13:00:00-05:00,0.24529299999999665,0.004104587128330101,0.003,59.7607,,,,100083.8842,10084.270000000004
0,2020-01-02 13:15:00-05:00,0.23149599999999992,0.003880905280804693,0.003,59.65,,,,99917.17,10084.270000000004
0,2020-01-02 13:30:00-05:00,0.31949300000000136,0.005349177514545249,0.003,59.7275,,,,100033.88500000001,10084.270000000004
0,2020-01-02 13:45:00-05:00,0.2218600000000066,0.0037110573987807105,0.003,59.7835,,,,100118.221,10084.270000000004
0,2020-01-02 14:00:00-05:00,0.3547669999999954,0.00592933606317629,0.003,59.8325,,,,100192.01500000001,10084.270000000004
